elo_home,elo_away,form_home_5,form_away_5,gf_home_5,ga_home_5,gf_away_5,ga_away_5,attack_home,defense_home,attack_away,defense_away,avg_shots_home_5,avg_shots_away_5,avg_sot_home_5,avg_sot_away_5,avg_corners_home_5,avg_corners_away_5,avg_yellow_home_5,avg_yellow_away_5,avg_red_home_5,avg_red_away_5,target
1490.0,1510.28774368332,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0
1500.0,1490.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0
1490.0,1509.71225631668,1.5,3.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,,1
1500.0,1490.0,1.5,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,0
1510.0,1510.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,,,,,,,,,,,0
1500.0,1500.0,3.0,1.5,2.0,1.5,1.0,1.0,2.0,1.5,1.0,1.0,,,,,,,,,,,0
1510.0,1490.0,3.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,0
1500.0,1510.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,,,,,,,,,,,0
1480.2960185560382,1490.28774368332,0.0,1.5,1.0,2.5,1.5,2.5,1.0,2.5,1.5,2.5,,,,,,,,,,,0
1499.71225631668,1510.0,1.5,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,,,2
1490.5750112778453,1510.2794684162,1.5,4.5,0.0,0.5,2.5,1.0,0.0,0.5,2.5,1.0,,,,,,,,,,,1
1490.0,1520.0078059477808,0.0,6.0,0.0,3.0,2.5,1.5,0.0,3.0,2.5,1.5,,,,,,,,,,,0
1480.28774368332,1510.0,0.0,4.5,1.5,3.0,1.0,0.5,1.5,3.0,1.0,0.5,,,,,,,,,,,2
